Distance,AverageDensity_Near,AverageDensity_Mid,AverageDensity_Far,AverageD2surface,PBPotential
12.787,12.0,53.5,412.5,4.983,0.140
11.416,11.0,56.5,441.0,5.421,0.200
19.726,9.0,48.0,444.5,5.101,0.020
21.633,12.0,56.0,439.0,5.956,0.018
23.130,8.5,37.5,389.5,3.337,0.010
26.736,12.0,51.5,349.5,5.152,0.005
28.278,9.0,38.5,320.5,4.386,0.003
27.132,10.5,53.5,338.5,4.531,0.005
6.780,11.0,36.0,362.5,2.598,0.690
8.473,11.5,58.0,437.0,5.426,0.768
11.759,11.0,54.5,431.0,3.973,0.216
17.552,10.0,60.5,489.5,5.366,0.064
16.409,9.5,40.0,401.0,3.087,0.052
19.882,11.5,56.0,450.5,4.635,0.034
23.828,11.0,42.5,385.0,3.296,0.011
32.550,9.0,26.0,284.5,2.509,0.002
29.266,12.5,34.5,322.0,2.728,0.003
24.414,8.5,34.0,374.0,1.565,0.009
29.639,9.0,38.5,294.5,2.404,0.003
17.994,10.5,41.0,384.0,2.110,0.039
16.190,11.5,44.5,435.0,2.605,0.054
11.666,11.5,43.0,398.5,2.625,0.168
9.591,11.0,59.0,443.0,5.331,0.530
9.095,11.5,28.0,338.5,2.834,0.237
7.025,9.0,63.5,373.0,4.832,1.240
8.420,9.5,26.5,291.5,1.565,0.269
7.326,10.5,38.5,325.0,2.736,0.532
8.288,9.0,46.5,394.5,4.251,0.467
12.232,8.5,34.0,343.0,1.565,0.105
11.270,9.5,39.5,344.0,3.856,0.144
8.016,10.5,64.5,415.5,5.739,0.956
13.155,12.0,53.5,442.0,3.921,0.139
14.692,10.0,38.5,363.0,2.110,0.059
12.369,9.0,43.0,390.5,4.948,0.104
14.459,11.0,63.0,498.0,6.075,0.138
19.313,11.0,43.5,418.0,4.135,0.020
19.069,7.0,26.5,336.0,1.565,0.022
19.556,9.5,33.0,424.0,2.110,0.024
20.709,11.5,60.5,442.0,4.361,0.022
24.232,7.5,28.0,355.5,1.565,0.007
22.873,9.5,44.0,346.0,2.455,0.012
21.900,9.0,51.0,407.0,3.175,0.017
24.011,12.0,54.5,398.5,4.290,0.011
27.933,10.0,30.5,348.5,2.785,0.003
26.892,7.0,21.0,281.0,1.565,0.006
15.521,9.0,65.5,501.5,6.872,0.104
18.165,8.0,37.5,392.5,5.088,0.026
8.865,9.0,63.5,417.0,4.926,0.568
14.038,8.5,39.0,328.0,2.179,0.069
10.110,10.0,40.0,332.0,2.110,0.206
13.198,8.5,30.5,268.0,1.565,0.084
13.263,10.0,32.0,308.0,2.110,0.098
5.615,12.0,45.5,364.0,4.092,1.361
12.581,11.0,53.5,415.0,4.420,0.154
10.406,10.0,56.5,443.5,4.858,0.310
19.304,8.0,48.0,447.0,4.538,0.024
21.512,11.0,56.0,441.5,5.393,0.021
22.826,7.5,37.5,392.0,2.773,0.011
26.798,11.0,51.5,352.0,4.588,0.006
28.182,8.0,38.5,323.0,3.822,0.004
27.687,9.5,53.5,341.0,3.967,0.004
6.763,12.5,60.0,467.5,4.894,1.520
7.511,12.0,56.5,461.5,3.440,0.742
14.227,11.0,62.5,520.0,4.833,0.152
12.788,10.5,42.0,431.5,2.555,0.129
15.759,12.5,58.0,481.0,4.103,0.091
20.458,12.0,44.5,415.5,2.764,0.024
29.726,10.0,28.0,315.0,1.976,0.002
25.024,13.5,36.5,352.5,2.196,0.008
19.284,9.5,36.0,404.5,1.032,0.033
25.477,10.0,40.5,325.0,1.871,0.007
12.574,11.5,43.0,414.5,1.578,0.140
10.762,12.5,46.5,465.5,2.072,0.217
5.574,12.5,45.0,429.0,2.092,1.208
6.772,12.0,61.0,473.5,4.798,1.532
6.705,12.5,30.0,369.0,2.301,0.591
7.903,10.0,65.5,403.5,4.300,0.966
11.481,10.5,28.5,322.0,1.032,0.112
12.146,11.5,40.5,355.5,2.204,0.120
11.493,10.0,48.5,425.0,3.718,0.181
15.857,9.5,36.0,373.5,1.032,0.032
12.784,10.5,41.5,374.5,3.323,0.103
8.049,11.5,66.5,446.0,5.207,1.045
14.107,13.0,55.5,472.5,3.389,0.121
16.728,11.0,40.5,393.5,1.578,0.034
11.314,10.0,45.0,421.0,4.415,0.154
12.405,12.0,65.0,528.5,5.542,0.260
18.450,12.0,45.5,448.5,3.603,0.024
17.717,8.0,28.5,366.5,1.032,0.035
15.013,10.5,35.0,454.5,1.578,0.082
18.391,12.5,62.5,472.5,3.828,0.040
22.745,8.5,30.0,386.0,1.032,0.008
19.533,10.5,46.0,376.5,1.922,0.032
17.987,10.0,53.0,437.5,2.643,0.046
20.860,13.0,56.5,429.0,3.758,0.025
25.779,11.0,32.5,379.0,2.252,0.004
26.517,8.0,23.0,311.5,1.032,0.005
13.922,10.0,67.5,532.0,6.340,0.176
17.436,9.0,39.5,423.0,4.556,0.034
9.631,10.0,65.5,447.5,4.394,0.516
14.667,9.5,41.0,358.5,1.646,0.068
13.279,11.0,42.0,362.5,1.578,0.091
15.297,9.5,32.5,298.5,1.032,0.054
12.730,11.0,34.0,338.5,1.578,0.139
8.133,13.0,47.5,394.5,3.559,0.562
10.703,12.0,55.5,445.5,3.888,0.300
11.522,11.0,58.5,474.0,4.325,0.260
17.638,9.0,50.0,477.5,4.005,0.039
19.360,12.0,58.0,472.0,4.860,0.036
20.724,8.5,39.5,422.5,2.241,0.018
24.043,12.0,53.5,382.5,4.056,0.010
25.570,9.0,40.5,353.5,3.290,0.006
23.848,10.5,55.5,371.5,3.435,0.010
5.119,12.5,78.5,536.0,6.269,4.024
9.243,11.5,84.5,594.5,7.662,1.720
9.677,11.0,64.0,506.0,5.384,0.534
11.536,13.0,80.0,555.5,6.931,0.751
15.625,12.5,66.5,490.0,5.593,0.116
24.219,10.5,50.0,389.5,4.806,0.011
20.923,14.0,58.5,427.0,5.025,0.024
16.587,10.0,58.0,479.0,3.861,0.071
21.317,10.5,62.5,399.5,4.700,0.020
10.947,12.0,65.0,489.0,4.407,0.428
9.196,13.0,68.5,540.0,4.902,0.851
6.668,13.0,67.0,503.5,4.921,1.974
3.756,12.5,83.0,548.0,7.627,11.605
9.410,13.0,52.0,443.5,5.130,0.459
6.013,10.5,87.5,478.0,7.128,4.477
12.291,11.0,50.5,396.5,3.861,0.144
9.919,12.0,62.5,430.0,5.033,0.540
6.834,10.5,70.5,499.5,6.547,2.007
11.278,10.0,58.0,448.0,3.861,0.228
10.333,11.0,63.5,449.0,6.152,0.483
4.336,12.0,88.5,520.5,8.036,9.386
8.097,13.5,77.5,547.0,6.218,1.754
11.417,11.5,62.5,468.0,4.407,0.329
8.966,10.5,67.0,495.5,7.245,0.702
6.946,12.5,87.0,603.0,8.371,3.645
12.748,12.5,67.5,523.0,6.431,0.256
14.691,8.5,50.5,441.0,3.861,0.091
12.527,11.0,57.0,529.0,4.407,0.242
12.973,13.0,84.5,547.0,6.657,0.418
17.386,9.0,52.0,460.5,3.861,0.049
16.029,11.0,68.0,451.0,4.752,0.100
14.377,10.5,75.0,512.0,5.471,0.223
15.753,13.5,78.5,503.5,6.587,0.207
19.940,11.5,54.5,453.5,5.082,0.027
19.944,8.5,45.0,386.0,3.861,0.032
7.579,10.5,89.5,606.5,9.168,2.933
11.580,9.5,61.5,497.5,7.385,0.238
4.036,10.5,87.5,522.0,7.223,9.938
10.508,10.0,63.0,433.0,4.475,0.382
9.504,11.5,64.0,437.0,4.407,0.583
12.631,10.0,54.5,373.0,3.861,0.120
10.510,11.5,56.0,413.0,4.407,0.319
6.245,13.5,69.5,469.0,6.389,2.742
6.362,12.5,77.5,520.0,6.716,2.720
5.387,11.5,80.5,548.5,7.155,4.786
11.646,9.5,72.0,552.0,6.835,0.396
13.327,12.5,80.0,546.5,7.689,0.423
15.050,9.0,61.5,497.0,5.070,0.098
18.450,12.5,75.5,457.0,6.885,0.076
19.967,9.5,62.5,428.0,6.119,0.029
19.268,11.0,77.5,446.0,6.264,0.051
9.041,11.0,81.0,588.5,6.209,1.313
5.526,10.5,60.5,500.0,3.930,1.823
9.783,12.5,76.5,549.5,5.478,0.865
13.132,12.0,63.0,484.0,4.139,0.159
23.295,10.0,46.5,383.5,3.352,0.009
19.154,13.5,55.0,421.0,3.571,0.026
14.313,9.5,54.5,473.0,2.408,0.094
18.455,10.0,59.0,393.5,3.247,0.030
6.497,11.5,61.5,483.0,2.953,1.402
7.208,12.5,65.0,534.0,3.448,1.252
4.989,12.5,63.5,497.5,3.467,2.610
6.942,12.0,79.5,542.0,6.174,2.070
12.029,12.5,48.5,437.5,3.676,0.137
10.692,10.0,84.0,472.0,5.675,0.552
16.654,10.5,47.0,390.5,2.408,0.039
14.890,11.5,59.0,424.0,3.579,0.082
11.556,10.0,67.0,493.5,5.093,0.261
16.199,9.5,54.5,442.0,2.408,0.044
15.062,10.5,60.0,443.0,4.698,0.081
9.179,11.5,85.0,514.5,6.582,1.036
12.312,13.0,74.0,541.0,4.764,0.325
15.983,11.0,59.0,462.0,2.953,0.064
12.715,10.0,63.5,489.5,5.790,0.154
9.244,12.0,83.5,597.0,6.917,1.208
15.394,12.0,64.0,517.0,4.978,0.090
17.729,8.0,47.0,435.0,2.408,0.035
12.159,10.5,53.5,523.0,2.953,0.182
14.040,12.5,81.0,541.0,5.203,0.229
19.289,8.5,48.5,454.5,2.408,0.021
16.856,10.5,64.5,445.0,3.298,0.059
14.288,10.0,71.5,506.0,4.018,0.161
15.365,13.0,75.0,497.5,5.133,0.162
20.178,11.0,51.0,447.5,3.628,0.018
20.360,8.0,41.5,380.0,2.408,0.021
9.233,10.0,86.0,600.5,7.715,1.260
11.147,9.0,58.0,491.5,5.931,0.211
7.390,10.0,84.0,516.0,5.769,1.640
10.448,9.5,59.5,427.0,3.021,0.250
11.952,11.0,60.5,431.0,2.953,0.175
13.121,9.5,51.0,367.0,2.408,0.090
8.985,11.0,52.5,407.0,2.953,0.381
8.875,13.0,66.0,463.0,4.934,0.635
4.740,12.0,74.0,514.0,5.263,3.451
9.861,11.0,77.0,542.5,5.700,0.672
10.876,9.0,68.5,546.0,5.380,0.345
13.347,12.0,76.5,540.5,6.235,0.300
13.566,8.5,58.0,491.0,3.616,0.116
17.622,12.0,72.0,451.0,5.431,0.065
18.515,9.0,59.0,422.0,4.665,0.032
17.755,10.5,74.0,440.0,4.810,0.052
10.132,9.5,66.5,558.5,5.324,0.571
3.424,11.5,82.5,608.0,6.871,13.758
9.435,11.0,69.0,542.5,5.533,0.739
15.696,9.0,52.5,442.0,4.745,0.067
11.862,12.5,61.0,479.5,4.965,0.247
8.792,8.5,60.5,531.5,3.801,0.544
13.695,9.0,65.0,452.0,4.640,0.116
8.801,10.5,67.5,541.5,4.346,0.945
6.555,11.5,71.0,592.5,4.841,2.234
10.051,11.5,69.5,556.0,4.861,0.644
8.678,11.0,85.5,600.5,7.567,1.746
14.799,11.5,54.5,496.0,5.070,0.123
12.650,9.0,90.0,530.5,7.068,0.506
18.862,9.5,53.0,449.0,3.801,0.041
17.031,10.5,65.0,482.5,4.973,0.080
13.584,9.0,73.0,552.0,6.487,0.253
15.744,8.5,60.5,500.5,3.801,0.082
14.260,9.5,66.0,501.5,6.091,0.153
10.672,10.5,91.0,573.0,7.975,1.054
9.895,12.0,80.0,599.5,6.158,1.016
13.226,10.0,65.0,520.5,4.346,0.199
10.994,9.0,69.5,548.0,7.184,0.378
4.480,11.0,89.5,655.5,8.311,8.987
8.281,11.0,70.0,575.5,6.371,1.067
12.402,7.0,53.0,493.5,3.801,0.154
6.533,9.5,59.5,581.5,4.346,1.768
5.284,11.5,87.0,599.5,6.597,5.294
10.814,7.5,54.5,513.0,3.801,0.270
9.072,9.5,70.5,503.5,4.691,0.718
6.418,9.0,77.5,564.5,5.411,3.117
6.670,12.0,81.0,556.0,6.526,3.490
11.756,10.0,57.0,506.0,5.021,0.232
15.657,7.0,47.5,438.5,3.801,0.071
4.407,9.0,92.0,659.0,9.108,9.622
11.268,8.0,64.0,550.0,7.325,0.292
11.178,9.0,90.0,574.5,7.162,0.881
15.152,8.5,65.5,485.5,4.415,0.116
16.502,10.0,66.5,489.5,4.346,0.088
19.048,8.5,57.0,425.5,3.801,0.033
15.964,10.0,58.5,465.5,4.346,0.084
15.070,12.0,72.0,521.5,6.328,0.186
10.307,11.0,80.0,572.5,6.656,0.825
10.137,10.0,83.0,601.0,7.094,0.970
8.551,8.0,74.5,604.5,6.774,1.204
6.137,11.0,82.5,599.0,7.629,4.337
10.498,7.5,64.0,549.5,5.010,0.345
10.175,11.0,78.0,509.5,6.824,0.875
12.853,8.0,65.0,480.5,6.058,0.177
10.207,9.5,80.0,498.5,6.204,0.696
9.513,11.0,62.0,519.5,4.592,0.562
9.464,10.5,48.5,454.0,3.254,0.376
20.927,8.5,32.0,353.5,2.466,0.014
17.630,12.0,40.5,391.0,2.686,0.028
14.108,8.0,40.0,443.0,1.522,0.067
14.972,8.5,44.5,363.5,2.361,0.070
5.955,10.0,47.0,453.0,2.067,1.196
10.016,11.0,50.5,504.0,2.562,0.311
9.925,11.0,49.0,467.5,2.582,0.279
11.928,10.5,65.0,512.0,5.288,0.277
17.522,11.0,34.0,407.5,2.792,0.028
15.647,8.5,69.5,442.0,4.790,0.092
21.841,9.0,32.5,360.5,1.522,0.009
19.106,10.0,44.5,394.0,2.694,0.021
14.867,8.5,52.5,463.5,4.208,0.069
19.378,8.0,40.0,412.0,1.522,0.018
19.637,9.0,45.5,413.0,3.813,0.018
13.860,10.0,70.5,484.5,5.697,0.171
15.046,11.5,59.5,511.0,3.879,0.095
18.888,9.5,44.5,432.0,2.067,0.022
17.321,8.5,49.0,459.5,4.905,0.032
12.065,10.5,69.0,567.0,6.032,0.326
17.198,10.5,49.5,487.0,4.092,0.037
21.380,6.5,32.5,405.0,1.522,0.010
14.511,9.0,39.0,493.0,2.067,0.066
14.986,11.0,66.5,511.0,4.318,0.106
20.473,7.0,34.0,424.5,1.522,0.011
18.876,9.0,50.0,415.0,2.413,0.024
15.737,8.5,57.0,476.0,3.133,0.073
14.873,11.5,60.5,467.5,4.248,0.115
19.099,9.5,36.5,417.5,2.742,0.018
17.888,6.5,27.0,350.0,1.522,0.040
10.593,8.5,71.5,570.5,6.830,0.488
8.598,7.5,43.5,461.5,5.046,0.438
10.190,8.5,69.5,486.0,4.884,0.409
9.419,8.0,45.0,397.0,2.136,0.335
13.430,9.5,46.0,401.0,2.067,0.088
13.028,8.0,36.5,337.0,1.522,0.092
8.136,9.5,38.0,377.0,2.067,0.425
12.219,11.5,51.5,433.0,4.050,0.159
4.802,10.5,59.5,484.0,4.377,2.067
12.885,9.5,62.5,512.5,4.816,0.167
8.352,7.5,54.0,516.0,4.495,0.506
12.321,10.5,62.0,510.5,5.350,0.238
9.969,7.0,43.5,461.0,2.731,0.302
15.587,10.5,57.5,421.0,4.546,0.076
15.209,7.5,44.5,392.0,3.780,0.071
16.130,9.0,59.5,410.0,3.925,0.053
7.367,12.5,64.5,503.5,4.801,1.315
14.412,10.5,48.0,403.0,4.014,0.078
9.510,14.0,56.5,440.5,4.233,0.456
6.150,10.0,56.0,492.5,3.070,1.222
10.774,10.5,60.5,413.0,3.909,0.232
7.130,12.0,63.0,502.5,3.615,1.369
6.500,13.0,66.5,553.5,4.110,1.925
10.888,13.0,65.0,517.0,4.130,0.410
11.163,12.5,81.0,561.5,6.836,0.712
16.976,13.0,50.0,457.0,4.339,0.069
15.547,10.5,85.5,491.5,6.337,0.203
21.769,11.0,48.5,410.0,3.070,0.021
20.140,12.0,60.5,443.5,4.242,0.034
16.533,10.5,68.5,513.0,5.755,0.104
19.050,10.0,56.0,461.5,3.070,0.035
17.503,11.0,61.5,462.5,5.361,0.065
13.608,12.0,86.5,534.0,7.244,0.404
13.218,13.5,75.5,560.5,5.426,0.351
16.605,11.5,60.5,481.5,3.615,0.076
13.967,10.5,65.0,509.0,6.453,0.156
7.855,12.5,85.0,616.5,7.579,2.474
11.173,12.5,65.5,536.5,5.640,0.399
15.059,8.5,48.5,454.5,3.070,0.079
6.899,11.0,55.0,542.5,3.615,1.308
7.253,13.0,82.5,560.5,5.865,2.389
12.669,9.0,50.0,474.0,3.070,0.151
10.086,11.0,66.0,464.5,3.960,0.471
6.671,10.5,73.0,525.5,4.680,2.462
6.216,13.5,76.5,517.0,5.795,3.938
11.798,11.5,52.5,467.0,4.290,0.207
16.209,8.5,43.0,399.5,3.070,0.056
7.403,10.5,87.5,620.0,8.377,3.070
12.021,9.5,59.5,511.0,6.593,0.218
13.507,10.5,85.5,535.5,6.431,0.395
16.303,10.0,61.0,446.5,3.683,0.082
18.611,11.5,62.0,450.5,3.615,0.046
20.402,10.0,52.5,386.5,3.070,0.023
16.644,11.5,54.0,426.5,3.615,0.068
17.146,13.5,67.5,482.5,5.597,0.093
11.246,12.5,75.5,533.5,5.925,0.514
13.181,11.5,78.5,562.0,6.363,0.366
8.951,9.5,70.0,565.5,6.043,0.895
6.810,12.5,78.0,560.0,6.897,3.286
9.845,9.0,59.5,510.5,4.278,0.384
9.172,12.5,73.5,470.5,6.093,1.136
11.463,9.5,60.5,441.5,5.327,0.236
8.123,11.0,75.5,459.5,5.473,1.288
11.818,10.0,34.5,337.5,2.675,0.093
10.304,13.5,43.0,375.0,2.895,0.207
10.881,9.5,42.5,427.0,1.732,0.144
6.617,10.0,47.0,347.5,2.571,0.630
10.227,11.5,49.5,437.0,2.276,0.293
12.993,12.5,53.0,488.0,2.772,0.129
16.240,12.5,51.5,451.5,2.791,0.058
16.764,12.0,67.5,496.0,5.498,0.079
23.152,12.5,36.5,391.5,3.000,0.009
20.715,10.0,72.0,426.0,4.998,0.029
27.232,10.5,35.0,344.5,1.732,0.004
24.156,11.5,47.0,378.0,2.903,0.009
19.580,10.0,55.0,447.5,4.417,0.028
22.334,9.5,42.5,396.0,1.732,0.013
22.987,10.5,48.0,397.0,4.022,0.009
18.587,11.5,73.0,468.5,5.905,0.054
16.831,13.0,62.0,495.0,4.088,0.060
20.250,11.0,47.0,416.0,2.276,0.018
20.234,10.0,51.5,443.5,5.114,0.016
13.298,12.0,71.5,551.0,6.241,0.232
15.316,12.0,52.0,471.0,4.301,0.059
21.448,8.0,35.0,389.0,1.732,0.010
14.198,10.5,41.5,477.0,2.276,0.076
11.726,12.5,69.0,495.0,4.527,0.280
16.414,8.5,36.5,408.5,1.732,0.034
16.360,10.5,52.5,399.0,2.622,0.043
13.165,10.0,59.5,460.0,3.341,0.168
9.033,13.0,63.0,451.5,4.457,0.773
11.741,11.0,39.0,401.5,2.952,0.117
12.355,8.0,29.5,334.0,1.732,0.106
10.985,10.0,74.0,554.5,7.039,0.432
9.593,9.0,46.0,445.5,5.255,0.361
15.943,10.0,72.0,470.0,5.093,0.101
15.373,9.5,47.5,381.0,2.345,0.114
19.484,11.0,48.5,385.0,2.276,0.032
19.891,9.5,39.0,321.0,1.732,0.034
16.259,11.0,40.5,361.0,2.276,0.089
19.647,13.0,54.0,417.0,4.258,0.033
12.182,12.0,62.0,468.0,4.587,0.237
16.496,11.0,65.0,496.5,5.024,0.070
6.615,9.0,56.5,500.0,4.704,0.986
7.321,12.0,64.5,494.5,5.559,1.343
4.553,8.5,46.0,445.0,2.940,1.563
7.287,12.0,60.0,405.0,4.755,1.125
6.129,9.0,47.0,376.0,3.989,0.842
8.471,10.5,62.0,394.0,4.134,0.635
8.516,11.5,26.5,274.5,2.107,0.324
14.910,7.5,26.0,326.5,0.944,0.043
9.697,8.0,30.5,247.0,1.783,0.147
20.375,9.5,33.0,336.5,1.489,0.014
20.742,10.5,36.5,387.5,1.984,0.014
25.240,10.5,35.0,351.0,2.003,0.006
24.260,10.0,51.0,395.5,4.710,0.010
30.286,10.5,20.0,291.0,2.213,0.003
27.605,8.0,55.5,325.5,4.211,0.006
33.551,8.5,18.5,244.0,0.944,0.002
30.670,9.5,30.5,277.5,2.115,0.003
26.650,8.0,38.5,347.0,3.630,0.007
27.227,7.5,26.0,295.5,0.944,0.007
27.824,8.5,31.5,296.5,3.235,0.005
25.581,9.5,56.5,368.0,5.118,0.009
21.789,11.0,45.5,394.5,3.300,0.021
23.829,9.0,30.5,315.5,1.489,0.014
25.193,8.0,35.0,343.0,4.327,0.007
18.923,10.0,55.0,450.5,5.454,0.035
16.702,10.0,35.5,370.5,3.514,0.051
23.071,6.0,18.5,288.5,0.944,0.011
18.474,8.5,25.0,376.5,1.489,0.022
13.436,10.5,52.5,394.5,3.740,0.118
14.215,6.5,20.0,308.0,0.944,0.088
16.778,8.5,36.0,298.5,1.834,0.040
15.292,8.0,43.0,359.5,2.554,0.064
9.606,11.0,46.5,351.0,3.669,0.291
6.311,9.0,22.5,301.0,2.164,0.725
12.862,6.0,13.0,233.5,0.944,0.107
17.154,8.0,57.5,454.0,6.251,0.051
18.394,7.0,29.5,345.0,4.467,0.028
24.571,8.0,55.5,369.5,4.306,0.011
25.252,7.5,31.0,280.5,1.558,0.009
28.255,9.0,32.0,284.5,1.489,0.005
29.799,7.5,22.5,220.5,0.944,0.004
27.202,9.0,24.0,260.5,1.489,0.005
28.972,11.0,37.5,316.5,3.471,0.004
22.624,10.0,45.5,367.5,3.799,0.013
23.234,9.0,48.5,396.0,4.237,0.014
15.211,7.0,40.0,399.5,3.917,0.053
11.119,10.0,48.0,394.0,4.771,0.183
12.923,6.5,29.5,344.5,2.152,0.069
5.793,10.0,43.5,304.5,3.967,0.817
6.931,7.0,30.5,275.5,3.201,0.350
7.406,8.5,45.5,293.5,3.346,0.500
7.058,11.0,34.5,364.0,1.163,0.453
7.225,11.5,39.0,284.5,2.002,0.385
14.823,13.0,41.5,374.0,1.708,0.063
14.687,14.0,45.0,425.0,2.204,0.078
19.818,14.0,43.5,388.5,2.223,0.024
20.154,13.5,59.5,433.0,4.929,0.029
25.365,14.0,28.5,328.5,2.433,0.010
24.282,11.5,64.0,363.0,4.431,0.012
30.134,12.0,27.0,281.5,1.163,0.004
28.708,13.0,39.0,315.0,2.335,0.003
25.177,11.5,47.0,384.5,3.849,0.007
26.624,11.0,34.5,333.0,1.163,0.005
25.085,12.0,40.0,334.0,3.454,0.009
22.420,13.0,65.0,405.5,5.338,0.018
20.689,14.5,54.0,432.0,3.520,0.021
23.321,12.5,39.0,353.0,1.708,0.010
21.428,11.5,43.5,380.5,4.546,0.017
15.861,13.5,63.5,488.0,5.673,0.084
15.793,13.5,44.0,408.0,3.733,0.051
19.696,9.5,27.0,326.0,1.163,0.022
12.207,12.0,33.5,414.0,1.708,0.129
11.288,14.0,61.0,432.0,3.959,0.218
13.860,10.0,28.5,345.5,1.163,0.084
11.988,12.0,44.5,336.0,2.054,0.143
9.670,11.5,51.5,397.0,2.774,0.333
6.807,14.5,55.0,388.5,3.889,1.048
9.492,12.5,31.0,338.5,2.383,0.301
17.879,9.5,21.5,271.0,1.163,0.028
15.265,11.5,66.0,491.5,6.471,0.099
18.694,10.5,38.0,382.5,4.687,0.019
22.588,11.5,64.0,407.0,4.525,0.015
24.494,11.0,39.5,318.0,1.777,0.007
27.356,12.5,40.5,322.0,1.708,0.004
28.925,11.0,31.0,258.0,1.163,0.003
25.219,12.5,32.5,298.0,1.708,0.007
26.515,14.5,46.0,354.0,3.691,0.005
20.173,13.5,54.0,405.0,4.018,0.020
21.635,12.5,57.0,433.5,4.457,0.017
15.130,10.5,48.5,437.0,4.136,0.054
10.883,13.5,56.5,431.5,4.991,0.287
13.748,10.0,38.0,382.0,2.372,0.052
7.444,13.5,52.0,342.0,4.187,0.747
10.170,10.5,39.0,313.0,3.421,0.158
2.529,12.0,54.0,331.0,3.566,8.666
10.477,7.5,38.5,336.5,0.839,0.119
9.557,9.0,41.0,426.0,0.545,0.298
8.545,10.0,44.5,477.0,1.040,0.467
13.800,10.0,43.0,440.5,1.060,0.112
15.295,9.5,59.0,485.0,3.766,0.099
19.688,10.0,28.0,380.5,1.269,0.037
19.841,7.5,63.5,415.0,3.267,0.035
25.467,8.0,26.5,333.5,0.000,0.010
25.072,9.0,38.5,367.0,1.171,0.006
22.061,7.5,46.5,436.5,2.686,0.011
24.309,7.0,34.0,385.0,0.000,0.005
21.398,8.0,39.5,386.0,2.291,0.019
18.210,9.0,64.5,457.5,4.174,0.051
18.512,10.5,53.5,484.0,2.357,0.030
21.536,8.5,38.5,405.0,0.545,0.010
17.218,7.5,43.0,432.5,3.383,0.050
12.676,9.5,63.0,540.0,4.510,0.181
15.107,9.5,43.5,460.0,2.570,0.043
16.897,5.5,26.5,378.0,0.000,0.042
6.951,8.0,33.0,466.0,0.545,0.592
10.741,10.0,60.5,484.0,2.796,0.219
14.872,6.0,28.0,397.5,0.000,0.036
9.876,8.0,44.0,388.0,0.890,0.233
6.632,7.5,51.0,449.0,1.610,0.749
8.243,10.5,54.5,440.5,2.725,0.536
13.758,8.5,30.5,390.5,1.220,0.055
20.808,5.5,21.0,323.0,0.000,0.009
13.153,7.5,65.5,543.5,5.307,0.160
17.904,6.5,37.5,434.5,3.523,0.022
19.204,7.5,63.5,459.0,3.361,0.034
22.110,7.0,39.0,370.0,0.614,0.011
24.493,8.5,40.0,374.0,0.545,0.006
26.100,7.0,30.5,310.0,0.000,0.005
21.863,8.5,32.0,350.0,0.545,0.014
22.432,10.5,45.5,406.0,2.527,0.014
16.761,9.5,53.5,457.0,2.855,0.045
18.761,8.5,56.5,485.5,3.293,0.030
14.702,6.5,48.0,489.0,2.973,0.057
11.648,9.5,56.0,483.5,3.828,0.200
14.655,6.0,37.5,434.0,1.208,0.039
11.460,9.5,51.5,394.0,3.023,0.164
